1,1, 11
5,1, 66
4,2, 88
3,3, 91
2,4, 84
1,5, 64
6,1, 189
5,2, 238
4,3, 241
3,4, 232
2,5, 225
2,1, 14
1,6, 183
7,1, 675
6,2, 776
5,3, 944
4,4, 814
3,5, 743
2,6, 699
1,7, 637
8,1, 363
7,2, 469
1,2, 15
6,3, 811
5,4, 590
4,5, 759
3,6, 479
2,7, 369
1,8, 296
9,1, 643
8,2, 771
7,3, 1671
6,4, 1529
3,1, 20
5,5, 984
4,6, 629
3,7, 838
2,8, 448
1,9, 344
10,1, 1975
9,2, 20242
8,3, timeout
7,4, 14569
6,5, timeout
2,2, 25
5,6, timeout
4,7, timeout
3,8, 509
2,9, 576
1,10, 279
1,3, 22
4,1, 31
3,2, 43
2,3, 43
1,4, 34
