# TIME_LIMIT=2h CONCURRENT_LIMIT=8 bench/time_om1.sh rushby
1,1,  0.1
2,1,  0.13
1,2,  0.12
3,1,  0.25
2,2,  0.19
1,3,  0.12
4,1,  1.39
3,2,  2.43
2,3,  0.25
1,4,  0.15
5,1,  1.91
4,2,  8.15
3,3,  2.35
2,4,  0.41
1,5,  0.2
4,3,  246.72
5,2,  30.6
4,3,  10.47
3,4,  23.44
2,5,  1.48
6,2,  435.29
5,3, timeout
4,4, timeout
5,3, 0.34
4,4, 29.59
3,5,  18.47
2,6,  1.5
7,2, timeout 
6,3, timeout
5,4, timeout
4,5, timeout
3,6,  127.09
2,7,  1.7
1,8,  0.56
9,1,  109.84
8,2, timeout
7,3, timeout
6,4, timeout
5,5, timeout
4,6, timeout
3,7,  45.55
2,8,  2.11
1,9,  0.65

