# TIME_LIMIT=1h CONCURRENT_LIMIT=8 bench/time_om1.sh rushby
1, 1, 0.1
2, 1, 0.12
1, 2, 0.12
3, 1, 0.27
2, 2, 0.2
1, 3, 0.13
4, 1, 1.37
3, 2, 2.56
2, 3, 0.24
1, 4, 0.16
5, 1, 2.02
4, 2, 8.24
3, 3, 2.36
2, 4, 0.4
1, 5, 0.18
6, 1, 6.91
5, 2, 27.98
4, 3, 251.68
3, 4, 21.94
2, 5, 1.54
1, 6, 0.25
7, 1, 12.94
6, 2, 548.7
5, 3, timeout
4, 4, timeout
3, 5, 18.43
2, 6, 1.59
1, 7, 0.39
8, 1, 33.09
7, 2, timeout
6, 3, timeout
5, 4, timeout
4, 5, timeout
3, 6, 118.14
2, 7, 1.63
1, 8, 0.55
9, 1, 106.05
8, 2, timeout
7, 3, timeout
6, 4, timeout
5, 5, timeout
4, 6, timeout
3, 7, 44.67
2, 8, 2.14
1, 9, 0.69

